Japanese,English
の,of
に,On
を,of
は,teeth
年,Year
が,But
た,rice field
て,hand
と,When
し,death
月,Moon
日,Day
れ,Conceit
さ,difference
者,person
する,do
も,and
ます,increase
利用,use
こと,thing
ある,be
いる,Be
な,Named
から,from
い,stomach
ない,do not have
ページ,page
第,First
へ,What
や,or
日本,Japan
として,As
です,is
か,mosquito
会話,conversation
削除,delete
この,this
市,city
れる,Be
あり,can be
ん,Hmm
よう,So
ため,For
的,Intended
編集,edit
ください,please give me
人,Man
という,As
など,Such
依頼,request
なっ,In
名,Name
版,Plate
でき,Can
ませ,Not
リンク,Link
駅,station
記事,article
‐,-
う,cormorant
その,That
もの,thing
投稿,Posting
ば,palce
町,town
まし,Better
あっ,Ah
ノート,Note
号,issue
方針,policy
回,times
さん,Mr. Miss.
まで,to
だ,is
ので,So
一,one
放送,broadcast
後,rear
おり,Welcome
人物,person
署名,signature
本,Book
において,In
家,House
られ,In
また,Also
選手,player
お,oh
活動,Activity
東京,Tokyo
画像,image
会,Meeting
学校,school
映画,movie
時,Time
情報,information
性,sex
部,Department
より,Than
案内,guidance
質問,question
区,Ward
ご,Go game
大,Big
上,Up
作成,create
これ,this
位,Position
国,Country
二,two
一覧,List
作品,the work
ようこそ,Welcome
議論,Discussion
使用,use
村,village
出典,source
世界,world
テレビ,tv set
州,state
なり,In
三,three
問題,problem
昭和,Showa
線,line
郡,county
番組,program
ファイル,File
脚注,footnote
賞,award
なら,Oral
自己,self
により,By
分,Part
前,Previous
代表,representative
たら,Then
せ,height
化,Conversion
平成,Heisei
に関する,Related to
できる,can
出身,where one is from
仮,tentative
スタイル,style
ガイドライン,Guideline
思い,thought
方,direction
外部,external
数,number
五,Five
内容,Content
児童,Child
関連,connection
ヘルプ,help
現在,Current
時代,Era
元,Origin
それ,that
研究,the study
新,new
注意,Note
他,other
金,Money
局,Bureau
あなた,you
除去,Removal
鉄道,Railway
項目,item
】,]
【,[
目,eye
とき,Time
用,for
曲,song
社,Shrine
使い方,How to use
必要,requirement
説明,explanation
基本,Basics
によって,By
大学,University
変更,change
水,water
新しい,new
チーム,team
執筆,writing
道,road
間,while
型,Mold
でしょ,right
サッカー,Football
大会,Conference
ガイドブック,Guidebook
地,Earth
のみ,only
み,fruit
書か,Writing
べき,Should be
たり,Otherwise
ブロック,block
私,Me
戦,War
公式,official
出演,Appearance
可能,Possible
登場,Appearance
等,etc
系,system
特別,special
氏,Mr
次,Next
だっ,But
高等,High quality
時間,time
き,tree
～,~
内,Inside
音楽,music
歴史,history
所,Place
発売,Release
だけ,only
語,word
なかっ,Not
ボックス,box
生徒,student
学,Learning
記録,record
軍,army
！,!
場,Place
全,all
初,first time
シリーズ,series
土,soil
木,wood
総合,Comprehensive
何,what
行っ,Go
ゲーム,game
サイト,site
関係,relationship
られる,Be
お願い,please
同じ,same
サンド,sand
つ,Dedicated
考え,idea
見,You see
火,fire
アルバム,album
点,point
アニメ,animation
国際,international
法,Law
ドラマ,Drama
大阪,Osaka
ただし,however
行わ,Holding
たち,All
柱,Pillar
マニュアル,manual
リーグ,league
コメント,comment
教育,education
野球,baseball
方々,Persons
確認,confirmation
役,Role
株式会社,Ltd.
同,same
こんにちは,hello
書く,describe
長,Long
所属,Affiliation
開始,start
主,main
形,shape
アメリカ,America
＝,=
アカウント,account
ここ,here
選手権,Championship
出場,Participation
存在,Existence
十,Ten
記述,Description
際,edge
参考,reference
事典,Encyclopedia
ら,and others
史,History
以上,that's all
以下,Less than
作,Work
競技,Competition
方法,Method
結果,result
世,world
続け,continue
における,In
歳,age
システム,system
および,and
科,Department
権,Right
参加,Participation
車,car
地域,area
委員,Committee member
その後,after that
高,High
クラブ,club
事業,business
都,Capital
今後,from now on
名前,name
よく,Often
式,formula
小学校,primary school
度,Every time
期,Period
作曲,Composition
巻,roll
発言,comment
集,collection
和書,Japanese book
王,king
ソート,sort
バス,bus
一部,part
しかし,However
？,?
事,case
多く,Many
にて,At
開催,hold
デフォルト,Default
下さい,Please
なお,note that
百科,Encyclopedia
自由,freedom
会社,Company
御,You
作業,work
読み,reading
下,under
編,Edition
南,South
事件,Case
受け,received
に関して,About
世紀,century
カテゴリ,category
代,Substitute
しまっ,Gathering
表記,labels
中央,Center
優勝,win
以降,from
明治,Meiji
各,each
ね,hey
選挙,selection
出版,Publication
北,North
発表,publication
中国,China
アメリカ合衆国,united states of america
年度,year
…,…
→,→
円,Circle
協会,Association
市立,Municipal
旧,Old
機関,institution
収録,Recording
スポーツ,Sports
級,Class
す,vinegar
約,about
担当,responsible person
及び,as well as
東,east
一般,Ordinary
ドイツ,Germany
著作,Writing
当時,at that time
自分,myself
文化,culture
指定,specify
地方,Region
物,object
参照,reference
自身,Themselves
年生,Year
管理,management
制作,Production
学生,student
使っ,Use
企業,Company
終了,end
都市,City
すれ,Be
名称,name
秒,Second
書き,Writing
社会,society
廃止,abolition
提案,suggestion
グループ,group
漫画,Manga
センター,Center
女子,Girl
決定,Decision
女性,Woman
よ,world
四,four
子,Child
京都,Kyoto
理由,cause
中学校,junior high school
番号,number
×,×
ほか,other
記載,description
彼,he
年代,Age
設立,Establishment
概要,Overview
番,Rank
試合,game
フランス,France
まず,first
交通,traffic
オリンピック,Olympic
禁止,Ban
頁,page
新規,New
記念,anniversary
無視,ignore
声,voice
シングル,single
他人,others
部分,part
意見,opinion
スペース,space
すぐ,soon
でも,but
色,colour
イギリス,England
丁目,Chestnut
政治,Politics
プロ,Professional
文献,Literature
その他,others
設置,Installation
艦,Ship
施設,institution
詳しく,In detail
没,Dying
公開,Release
なさ,Nothing
力,Power
ラジオ,radio
意味,meaning
通り,street
もし,if
画面,screen
製作,Production
店,shop
テンプレート,template
どう,copper
に対して,To
